3000.0,"[0.0, 0.0, 8006.027554512024, 35.995991230010986]",-48
3006.060606060606,"[0.0, 0.0, 8005.8025579452515, 32.17475175857544]",-48
3012.121212121212,"[0.0, 0.0, 8050.5467257499695, -62.66399621963501]",-48
3018.181818181818,"[0.0, 0.0, 7998.553071975708, -8.25264024734497]",-48
3024.242424242424,"[0.0, 0.0, 8095.5537395477295, 47.56711769104004]",-48
3030.30303030303,"[0.0, 0.0, 8011.474260807037, -42.4324631690979]",-48
3036.363636363636,"[0.0, 0.0, 7996.614034175873, -1.4107494354248047]",-48
3042.424242424242,"[0.0, 0.0, 8001.750473022461, -16.563456058502197]",-48
3048.484848484848,"[0.0, 0.0, 8116.711006164551, -18.12844944000244]",-48
3054.545454545454,"[0.0, 0.0, 8077.249768733978, -56.14249801635742]",-48
3060.6060606060601,"[0.0, 0.0, 8111.7636041641235, 27.894088745117188]",-48
3066.6666666666661,"[0.0, 0.0, 8055.787859916687, -55.92737340927124]",-48
3072.7272727272721,"[0.0, 0.0, 8024.129531383514, 52.79897451400757]",-48
3078.7878787878781,"[0.0, 0.0, 8022.789763450623, -42.06075191497803]",-48
3084.8484848484841,"[0.0, 0.0, 8082.250527858734, 59.377620220184326]",-48
3090.9090909090901,"[0.0, 0.0, 8023.02524805069, 53.41755437850952]",-48
3096.9696969696961,"[0.0, 0.0, 8090.313022613525, -51.50311279296875]",-48
3103.0303030303021,"[0.0, 0.0, 8020.550826072693, -42.99766731262207]",-48
3109.0909090909081,"[0.0, 0.0, 8046.192877292633, -55.753743171691895]",-48
3115.1515151515141,"[0.0, 0.0, 8041.419298648834, 57.54112529754639]",-48
3121.2121212121201,"[0.0, 0.0, 8108.245810031891, -37.99700117111206]",-48
3127.2727272727261,"[0.0, 0.0, 8053.266436100006, -57.43072986602783]",-48
3133.3333333333321,"[0.0, 0.0, 8119.080532550812, 2.3870487213134766]",-48
3139.3939393939381,"[0.0, 0.0, 8048.135708808899, 60.36581993103027]",-48
3145.4545454545441,"[0.0, 0.0, 8096.282429218292, -40.409775733947754]",-48
3151.5151515151501,"[0.0, 0.0, 8112.840401172638, -20.595710277557373]",-48
3157.5757575757561,"[0.0, 0.0, 8005.3029680252075, -14.030182361602783]",-48
3163.6363636363621,"[0.0, 0.0, 8008.473530769348, -20.20721960067749]",-48
3169.6969696969682,"[0.0, 0.0, 8024.68673658371, -48.2015700340271]",-48
3175.7575757575742,"[0.0, 0.0, 7999.717247962952, 6.855262279510498]",-48
3181.8181818181802,"[0.0, 0.0, 8046.236147403717, -55.44860076904297]",-48
3187.8787878787862,"[0.0, 0.0, 8014.844630718231, -35.74920415878296]",-48
